,m.ss.yi,m.ss.ch.nm,m.ta,m.th,m.res.1x2,m.res.bts,m.odds.f.1x2.f.v.med,m.odds.f.1x2.m.v.med,m.odds.f.1x2.u.v.med,m.odds.f.1x2.f.c,m.odds.f.1x2.m.c,m.odds.f.1x2.u.c,m.odds.f.bts.f.v.med,m.odds.f.bts.u.v.med,m.odds.f.bts.f.c,m.odds.f.bts.u.c,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med,m.odds.s.bts.y.t.med,m.odds.s.bts.n.t.med
34671,2016,France A,Montpellier,Rennes,h,n,2.2,3.25,3.3,h,d,a,1.755,1.98,y,n,0.4267,0.2905,0.2839,0.5235,0.4765
34672,2016,France A,Dijon,Guingamp,h,n,2.15,3.3,3.4,h,a,d,1.57,2.25,y,n,0.4379,0.2775,0.2853,0.5882,0.4118
34673,2015,Netherlands A,Nijmegen,Heracles,h,n,2.2,3.0,3.5,h,a,d,1.54,2.35,y,n,0.4268,0.2645,0.3081,0.6056,0.3944
34674,2016,France A,Metz,Lille,a,n,1.6,4.14,5.25,h,d,a,1.68,2.1,y,n,0.5908,0.2316,0.1776,0.5541,0.4459
34675,2015,Netherlands A,Groningen,PSV,h,n,1.27,5.6,10.0,h,d,a,1.695,2.075,y,n,0.7321,0.1663,0.0943,0.5506,0.4494
34676,2016,France A,Angers,Lorient,d,y,2.15,3.3,3.45,h,a,d,1.6,2.205,y,n,0.4362,0.2744,0.2862,0.5825,0.4175
34677,2015,Netherlands A,Heerenveen,Utrecht,d,y,2.0,3.3,3.7,h,a,d,1.485,2.5,y,n,0.4602,0.2509,0.2822,0.6264,0.3736
34678,2016,France A,Monaco,Nancy,a,n,1.48,4.35,6.75,a,d,h,1.8,1.91,y,n,0.141,0.2164,0.6409999999999999,0.5174,0.4826
34679,2015,Netherlands A,Willem II,Ajax,h,n,1.31,5.0,8.75,h,d,a,1.83,1.91,y,n,0.7070000000000001,0.1871,0.1059,0.5148,0.4852
34680,2016,France A,Bastia,Paris SG,h,n,1.08,11.5,26.0,h,d,a,1.57,2.26,n,y,0.8827,0.0827,0.0363,0.4133,0.5867
34681,2015,Netherlands A,AZ Alkmaar,Excelsior,d,y,2.38,2.81,3.4,a,h,d,1.515,2.425,y,n,0.3319,0.2752,0.3925,0.6139,0.3861
34682,2016,France A,Caen,Toulouse,a,n,2.05,3.35,3.65,h,d,a,1.8,1.94,y,n,0.4587,0.2813,0.2599,0.52,0.48
34683,2015,Netherlands A,Zwolle,Graafschap,a,n,2.5,2.55,3.4,a,h,d,1.53,2.38,y,n,0.3583,0.2698,0.3729,0.6087,0.3913
34684,2016,France A,Bordeaux,St Etienne,d,y,2.56,2.9,3.1,h,a,d,1.85,1.87,y,n,0.3662,0.3057,0.3276,0.5013,0.4987
34685,2016,France A,Marseille,Caen,a,y,1.95,3.65,3.75,a,d,h,1.565,2.3,y,n,0.2515,0.2598,0.486,0.5965,0.4035
34686,2015,Netherlands A,Den Haag,Twente,a,y,1.715,3.815,4.5,h,d,a,1.59,2.205,y,n,0.5436,0.2439,0.20800000000000002,0.581,0.419
34687,2016,France A,Bordeaux,Dijon,d,n,2.21,3.2,3.45,a,h,d,1.645,2.2,y,n,0.2996,0.2743,0.426,0.5716,0.4284
34688,2015,Netherlands A,Roda,Vitesse,h,n,1.425,4.6,6.17,h,d,a,1.63,2.175,y,n,0.6503,0.2014,0.1514,0.5694,0.4306
34689,2016,France A,Paris SG,Nice,h,y,1.44,4.65,7.0,a,d,h,1.765,1.955,y,n,0.1342,0.2037,0.6631,0.527,0.473
