,m.res.1x2,m.res.bts,m.ss.ch.nm,m.ss.yi,m.ta,m.th,m.odds.f.1x2.f.c,m.odds.f.1x2.f.v.avg,m.odds.f.1x2.m.c,m.odds.f.1x2.m.v.avg,m.odds.f.1x2.u.c,m.odds.f.1x2.u.v.avg,m.odds.f.bts.f.c,m.odds.f.bts.f.v.avg,m.odds.f.bts.u.c,m.odds.f.bts.u.v.avg,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med
23490,h,n,Portugal A,2016,Guimaraes,Ferreira,a,2.2496,d,3.1584,h,3.29,n,1.7847,y,1.9547,0.2831,0.2968,0.4155
23491,d,y,Portugal A,2016,Feirense,Moreirense,h,2.068,d,3.0712,a,3.9024,n,1.7179,y,2.0505,0.4553,0.3076,0.243
23492,h,y,Italy A,2015,Genoa,AC Milan,h,1.6058,d,3.7215,a,6.17,n,1.7613,y,1.9647,0.5915,0.2549,0.157
23493,h,n,Portugal A,2016,Braga,Rio Ave,h,2.5340000000000003,a,2.932,d,3.0168,n,1.7926,y,1.96,0.3684,0.3106,0.3185
23494,h,y,Italy A,2015,Inter,Fiorentina,h,2.18,d,3.22,a,3.5304,y,1.8319999999999999,n,1.8953,0.4341,0.2926,0.27
23495,h,n,Portugal A,2016,Benfica,Setubal,a,1.3773,d,4.6165,h,8.1831,n,1.7253,y,2.04,0.1143,0.2044,0.6787
23496,a,y,Portugal A,2016,FC Porto,Estoril,a,1.2368,d,5.6979999999999995,h,12.5676,n,1.5095,y,2.4489,0.0745,0.1707,0.7534
23497,a,y,Italy A,2015,Torino,Palermo,a,2.2173,d,3.1835,h,3.4823,y,1.84,n,1.8857,0.2695,0.2978,0.4334
23498,d,n,Portugal A,2016,Maritimo,Guimaraes,h,1.9388,d,3.3388,a,3.9681,n,1.7872,y,1.9517,0.4876,0.2806,0.2347
23499,d,y,Portugal A,2016,Arouca,Nacional,h,2.2304,d,3.0892,a,3.4092,n,1.8439,y,1.9061,0.4249,0.303,0.2724
23500,d,n,Italy A,2015,Atalanta,Sampdoria,h,2.1665,d,3.2254,a,3.5423,y,1.7987,n,1.936,0.4378,0.293,0.2674
